segment,count,wins,losses,stake,pnl,roi_pct,hit_rate_pct,avg_odds,avg_predicted_probability,hit_rate_probability,calibration_delta_probability,brier_score
bookmaker:bet365,30,14,16,30.0,2.69,8.97,46.67,2.335,0.4987,0.4667,-0.032,0.24378
bookmaker:betfair exchange,13,5,8,13.0,-0.62,-4.77,38.46,2.411,0.4787,0.3846,-0.0941,0.28009
bookmaker:bzzoiroconsensus,1,1,0,1.0,1.5,150.0,100.0,2.5,0.412,1.0,0.588,0.34574
bookmaker:unibet,8,3,5,8.0,-0.99,-12.38,37.5,2.256,0.488,0.375,-0.113,0.259
context:bzzoiro,2,1,1,2.0,-0.09,-4.5,50.0,2.079,0.5601,0.5,-0.0601,0.21274
context:clubelo,22,8,14,22.0,-3.32,-15.09,36.36,2.313,0.4974,0.3636,-0.1338,0.25772
context:ensemble,26,14,12,26.0,7.99,30.73,53.85,2.403,0.4758,0.5385,0.0627,0.25758
context:sstats,1,0,1,1.0,-1.0,-100.0,0.0,2.58,0.4558,0.0,-0.4558,0.20775
context:thesportsdb,1,0,1,1.0,-1.0,-100.0,0.0,1.85,0.61,0.0,-0.61,0.3721
family:btts,13,5,8,13.0,-2.62,-20.15,38.46,2.143,0.4982,0.3846,-0.1136,0.23939
family:dnb,8,4,4,8.0,2.07,25.88,50.0,2.504,0.4844,0.5,0.0156,0.25648
family:h2h,7,4,3,7.0,2.43,34.71,57.14,2.427,0.4548,0.5714,0.1166,0.25907
family:teamTotals,1,1,0,1.0,1.1,110.0,100.0,2.1,0.5021,1.0,0.4979,0.2479
family:totals,23,9,14,23.0,-0.4,-1.74,39.13,2.391,0.4984,0.3913,-0.1071,0.26725
league:low,1,1,0,1.0,1.5,150.0,100.0,2.5,0.412,1.0,0.588,0.34574
league:other,8,5,3,8.0,4.62,57.75,62.5,2.444,0.5293,0.625,0.0957,0.22122
league:preferred,26,12,14,26.0,1.53,5.88,46.15,2.315,0.4882,0.4615,-0.0266,0.26718
league:secondary,17,5,12,17.0,-5.07,-29.82,29.41,2.336,0.4801,0.2941,-0.1859,0.25353
market:btts:no,1,0,1,1.0,-1.0,-100.0,0.0,2.48,0.4372,0.0,-0.4372,0.19114
market:btts:yes,12,5,7,12.0,-1.62,-13.5,41.67,2.115,0.5032,0.4167,-0.0866,0.24342
market:dnb:away,2,2,0,2.0,3.25,162.5,100.0,2.625,0.4536,1.0,0.5464,0.30166
market:dnb:home,6,2,4,6.0,-1.18,-19.67,33.33,2.463,0.4947,0.3333,-0.1614,0.24142
market:h2h:away,2,2,0,2.0,2.65,132.5,100.0,2.325,0.4614,1.0,0.5386,0.2927
market:h2h:home,5,2,3,5.0,-0.22,-4.4,40.0,2.468,0.4522,0.4,-0.0522,0.24562
market:teamTotals:under,1,1,0,1.0,1.1,110.0,100.0,2.1,0.5021,1.0,0.4979,0.2479
market:totals:under,23,9,14,23.0,-0.4,-1.74,39.13,2.391,0.4984,0.3913,-0.1071,0.26725
odds:1.70-2.04,8,3,5,8.0,-2.45,-30.63,37.5,1.897,0.5744,0.375,-0.1994,0.25891
odds:2.05-2.74,37,16,21,37.0,0.24,0.65,43.24,2.344,0.4834,0.4324,-0.051,0.25532
odds:2.75-3.49,7,4,3,7.0,4.79,68.43,57.14,2.864,0.4311,0.5714,0.1404,0.26486
prob:30-35,1,1,0,1.0,2.21,221.0,100.0,3.215,0.3338,1.0,0.6662,0.44382
prob:35-40,1,1,0,1.0,1.75,175.0,100.0,2.75,0.3983,1.0,0.6017,0.36204
prob:40-45,14,7,7,14.0,3.21,22.93,50.0,2.607,0.4312,0.5,0.0688,0.25819
prob:45-50,14,5,9,14.0,-2.22,-15.86,35.71,2.344,0.4705,0.3571,-0.1134,0.24469
prob:50-55,12,3,9,12.0,-5.25,-43.75,25.0,2.151,0.5181,0.25,-0.2681,0.26464
prob:55-60,6,3,3,6.0,0.79,13.17,50.0,2.157,0.5753,0.5,-0.0753,0.25805
prob:60-65,4,3,1,4.0,2.09,52.25,75.0,1.985,0.6187,0.75,0.1313,0.20053
