segment,count,wins,losses,stake,pnl,roi_pct,hit_rate_pct,avg_odds,avg_predicted_probability,hit_rate_probability,calibration_delta_probability,brier_score
bookmaker:bet365,1,0,1,1.0,-1.0,-100.0,0.0,2.25,0.467,0.0,-0.467,0.21809
bookmaker:betfair exchange,29,12,17,29.0,-3.39,-11.69,41.38,2.258,0.4717,0.4138,-0.0579,0.22673
bookmaker:sbobet,3,1,2,3.0,-0.88,-29.33,33.33,1.997,0.5132,0.3333,-0.1798,0.27018
bookmaker:unibet,2,1,1,2.0,-0.19,-9.5,50.0,1.905,0.5403,0.5,-0.0403,0.22626
context:market_signal,35,14,21,35.0,-5.46,-15.6,40.0,2.215,0.4791,0.4,-0.0791,0.23018
family:totals,35,14,21,35.0,-5.46,-15.6,40.0,2.215,0.4791,0.4,-0.0791,0.23018
league:low,5,1,4,5.0,-2.79,-55.8,20.0,2.19,0.4849,0.2,-0.2849,0.2
league:other,22,9,13,22.0,-3.5,-15.91,40.91,2.192,0.4828,0.4091,-0.0737,0.23349
league:preferred,7,4,3,7.0,1.83,26.14,57.14,2.233,0.4763,0.5714,0.0951,0.25281
league:secondary,1,0,1,1.0,-1.0,-100.0,0.0,2.72,0.3874,0.0,-0.3874,0.15008
market:totals:over,12,5,7,12.0,-1.89,-15.75,41.67,2.095,0.5005,0.4167,-0.0839,0.23816
market:totals:under,23,9,14,23.0,-3.57,-15.52,39.13,2.277,0.4679,0.3913,-0.0765,0.22602
odds:1.00-1.69,1,1,0,1.0,0.66,66.0,100.0,1.66,0.6149,1.0,0.3851,0.1483
odds:1.70-2.04,10,4,6,10.0,-3.06,-30.6,40.0,1.9,0.5403,0.4,-0.1402,0.24618
odds:2.05-2.74,23,9,14,23.0,-2.06,-8.96,39.13,2.348,0.4509,0.3913,-0.0596,0.23052
odds:2.75-3.49,1,0,1,1.0,-1.0,-100.0,0.0,2.86,0.3799,0.0,-0.3799,0.14432
prob:35-40,4,0,4,4.0,-4.0,-100.0,0.0,2.737,0.389,0.0,-0.389,0.15137
prob:40-45,8,3,5,8.0,-0.55,-6.88,37.5,2.456,0.4294,0.375,-0.0544,0.23865
prob:45-50,10,4,6,10.0,-0.7,-7.0,40.0,2.207,0.4751,0.4,-0.0751,0.24385
prob:50-55,8,3,5,8.0,-1.81,-22.62,37.5,1.992,0.5173,0.375,-0.1423,0.26326
prob:55-60,4,3,1,4.0,0.94,23.5,75.0,1.812,0.5678,0.75,0.1822,0.21222
prob:60-65,1,1,0,1.0,0.66,66.0,100.0,1.66,0.6149,1.0,0.3851,0.1483
