match_key,source,source_event_id,sport_key,league_name,home_team,away_team,commence_time,tier,metadata,forecast_status,forecast_family,forecast_selection,forecast_selection_key,forecast_team_side,forecast_line,forecast_odds,forecast_bookmaker,forecast_odds_source,forecast_model_probability_pct,forecast_adjusted_probability_pct,forecast_market_probability_pct,forecast_edge_pct,forecast_ev_pct,forecast_confidence,forecast_books_count,forecast_sources_count,forecast_model_mode,forecast_publication_score,forecast_expected_home,forecast_expected_away,forecast_total_xg,forecast_context_source,forecast_context_confidence,forecast_market_movement,forecast_quality_status,forecast_quality_score,forecast_quality_reasons,forecast_quality_calibration,forecast_reasons,forecast_analysis_points
soccer|seoul|ulsan hd|2026-04-15,odds_api_io,70240474,soccer,Republic of Korea - K-League 1,Ulsan HD FC,FC Seoul,2026-04-15T10:30:00+00:00,mid,"{""competition"": ""Republic of Korea - K-League 1"", ""odds_api_io_id"": 70240474, ""raw_event"": {""away"": ""FC Seoul"", ""awayId"": 7646, ""date"": ""2026-04-15T10:30:00Z"", ""home"": ""Ulsan HD FC"", ""homeId"": 7653, ""id"": 70240474, ""league"": {""name"": ""Republic of Korea - K-League 1"", ""slug"": ""republic-of-korea-k-league-1""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|chapora yuvak sangh|goa 2|2026-04-15,odds_api_io,69852416,soccer,India - Goa Pro League,FC Goa II,Chapora Yuvak Sangh,2026-04-15T10:30:00+00:00,mid,"{""competition"": ""India - Goa Pro League"", ""odds_api_io_id"": 69852416, ""raw_event"": {""away"": ""Chapora Yuvak Sangh"", ""awayId"": 1290921, ""date"": ""2026-04-15T10:30:00Z"", ""home"": ""FC Goa II"", ""homeId"": 521724, ""id"": 69852416, ""league"": {""name"": ""India - Goa Pro League"", ""slug"": ""india-goa-pro-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|bengaluru united|neroca|2026-04-15,odds_api_io,70090048,soccer,India - I-League 2,FC Bengaluru United,Neroca FC,2026-04-15T10:30:00+00:00,mid,"{""competition"": ""India - I-League 2"", ""odds_api_io_id"": 70090048, ""raw_event"": {""away"": ""Neroca FC"", ""awayId"": 275163, ""date"": ""2026-04-15T10:30:00Z"", ""home"": ""FC Bengaluru United"", ""homeId"": 750669, ""id"": 70090048, ""league"": {""name"": ""India - I-League 2"", ""slug"": ""india-i-league-2""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|moik baku|zaqatala|2026-04-15,odds_api_io,63637881,soccer,Azerbaijan - First Division,Moik Baku,Zaqatala FK,2026-04-15T11:00:00+00:00,mid,"{""competition"": ""Azerbaijan - First Division"", ""odds_api_io_id"": 63637881, ""raw_event"": {""away"": ""Zaqatala FK"", ""awayId"": 224170, ""date"": ""2026-04-15T11:00:00Z"", ""home"": ""Moik Baku"", ""homeId"": 37752, ""id"": 63637881, ""league"": {""name"": ""Azerbaijan - First Division"", ""slug"": ""azerbaijan-first-division""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,totals,Больше,,,,,Bet365,odds_api_io,56.53,54.09,52.33,,,64.69,,,,,,,,,,insufficient_history,,,,,,
soccer|lanzhou longyuan athletic|shandong taishan b|2026-04-15,odds_api_io,69910610,soccer,China - China League 2,Lanzhou Longyuan Athletic,Shandong Taishan B,2026-04-15T11:30:00+00:00,mid,"{""competition"": ""China - China League 2"", ""odds_api_io_id"": 69910610, ""raw_event"": {""away"": ""Shandong Taishan B"", ""awayId"": 1116073, ""date"": ""2026-04-15T11:30:00Z"", ""home"": ""Lanzhou Longyuan Athletic"", ""homeId"": 1011255, ""id"": 69910610, ""league"": {""name"": ""China - China League 2"", ""slug"": ""china-china-league-2""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,totals,Больше,,,,,Bet365,odds_api_io,41.23,39.26,37.84,,,64.24,,,,,,,,,,insufficient_history,,,,,,
soccer|hangzhou linping wuyue|wenzhou professional|2026-04-15,odds_api_io,69910874,soccer,China - China League 2,Wenzhou Professional FC,Hangzhou Linping Wuyue,2026-04-15T11:30:00+00:00,mid,"{""competition"": ""China - China League 2"", ""odds_api_io_id"": 69910874, ""raw_event"": {""away"": ""Hangzhou Linping Wuyue"", ""awayId"": 1110229, ""date"": ""2026-04-15T11:30:00Z"", ""home"": ""Wenzhou Professional FC"", ""homeId"": 793010, ""id"": 69910874, ""league"": {""name"": ""China - China League 2"", ""slug"": ""china-china-league-2""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|chengdu rongcheng b|wuhan three towns b|2026-04-15,odds_api_io,69910876,soccer,China - China League 2,Wuhan Three Towns B,Chengdu Rongcheng B,2026-04-15T11:30:00+00:00,mid,"{""competition"": ""China - China League 2"", ""odds_api_io_id"": 69910876, ""raw_event"": {""away"": ""Chengdu Rongcheng B"", ""awayId"": 1239151, ""date"": ""2026-04-15T11:30:00Z"", ""home"": ""Wuhan Three Towns B"", ""homeId"": 1239149, ""id"": 69910876, ""league"": {""name"": ""China - China League 2"", ""slug"": ""china-china-league-2""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,totals,Больше,,,,,Bet365,odds_api_io,43.91,41.86,40.38,,,64.25,,,,,,,,,,insufficient_history,,,,,,
soccer|agama|simba bhora|2026-04-15,odds_api_io,67563186,soccer,Zimbabwe - Premier Soccer League,Agama FC,Simba Bhora FC,2026-04-15T12:00:00+00:00,mid,"{""competition"": ""Zimbabwe - Premier Soccer League"", ""odds_api_io_id"": 67563186, ""raw_event"": {""away"": ""Simba Bhora FC"", ""awayId"": 993217, ""date"": ""2026-04-15T12:00:00Z"", ""home"": ""Agama FC"", ""homeId"": 1316450, ""id"": 67563186, ""league"": {""name"": ""Zimbabwe - Premier Soccer League"", ""slug"": ""zimbabwe-premier-soccer-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|mwos|platinum|2026-04-15,odds_api_io,67563188,soccer,Zimbabwe - Premier Soccer League,FC Platinum,Mwos FC,2026-04-15T12:00:00+00:00,mid,"{""competition"": ""Zimbabwe - Premier Soccer League"", ""odds_api_io_id"": 67563188, ""raw_event"": {""away"": ""Mwos FC"", ""awayId"": 1234211, ""date"": ""2026-04-15T12:00:00Z"", ""home"": ""FC Platinum"", ""homeId"": 412665, ""id"": 67563188, ""league"": {""name"": ""Zimbabwe - Premier Soccer League"", ""slug"": ""zimbabwe-premier-soccer-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|bulawayo chiefs|zpc kariba|2026-04-15,odds_api_io,67563192,soccer,Zimbabwe - Premier Soccer League,ZPC Kariba,Bulawayo Chiefs FC,2026-04-15T12:00:00+00:00,mid,"{""competition"": ""Zimbabwe - Premier Soccer League"", ""odds_api_io_id"": 67563192, ""raw_event"": {""away"": ""Bulawayo Chiefs FC"", ""awayId"": 421527, ""date"": ""2026-04-15T12:00:00Z"", ""home"": ""ZPC Kariba"", ""homeId"": 421547, ""id"": 67563192, ""league"": {""name"": ""Zimbabwe - Premier Soccer League"", ""slug"": ""zimbabwe-premier-soccer-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|chicken inn|highlanders|2026-04-15,odds_api_io,67563194,soccer,Zimbabwe - Premier Soccer League,Chicken Inn FC,Highlanders FC,2026-04-15T12:00:00+00:00,mid,"{""competition"": ""Zimbabwe - Premier Soccer League"", ""odds_api_io_id"": 67563194, ""raw_event"": {""away"": ""Highlanders FC"", ""awayId"": 380444, ""date"": ""2026-04-15T12:00:00Z"", ""home"": ""Chicken Inn FC"", ""homeId"": 421531, ""id"": 67563194, ""league"": {""name"": ""Zimbabwe - Premier Soccer League"", ""slug"": ""zimbabwe-premier-soccer-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|manica diamonds|triangle united|2026-04-15,odds_api_io,67563200,soccer,Zimbabwe - Premier Soccer League,Triangle United,Manica Diamonds FC,2026-04-15T12:00:00+00:00,mid,"{""competition"": ""Zimbabwe - Premier Soccer League"", ""odds_api_io_id"": 67563200, ""raw_event"": {""away"": ""Manica Diamonds FC"", ""awayId"": 551821, ""date"": ""2026-04-15T12:00:00Z"", ""home"": ""Triangle United"", ""homeId"": 421545, ""id"": 67563200, ""league"": {""name"": ""Zimbabwe - Premier Soccer League"", ""slug"": ""zimbabwe-premier-soccer-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|hardrock|ngezi platinum|2026-04-15,odds_api_io,67563202,soccer,Zimbabwe - Premier Soccer League,Hardrock FC,Ngezi Platinum,2026-04-15T12:00:00+00:00,mid,"{""competition"": ""Zimbabwe - Premier Soccer League"", ""odds_api_io_id"": 67563202, ""raw_event"": {""away"": ""Ngezi Platinum"", ""awayId"": 317869, ""date"": ""2026-04-15T12:00:00Z"", ""home"": ""Hardrock FC"", ""homeId"": 1316452, ""id"": 67563202, ""league"": {""name"": ""Zimbabwe - Premier Soccer League"", ""slug"": ""zimbabwe-premier-soccer-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|cabrayil|shahdag qusar|2026-04-15,odds_api_io,63637883,soccer,Azerbaijan - First Division,Shahdag Qusar FK,Cabrayil,2026-04-15T12:00:00+00:00,mid,"{""competition"": ""Azerbaijan - First Division"", ""odds_api_io_id"": 63637883, ""raw_event"": {""away"": ""Cabrayil"", ""awayId"": 1080920, ""date"": ""2026-04-15T12:00:00Z"", ""home"": ""Shahdag Qusar FK"", ""homeId"": 36579, ""id"": 63637883, ""league"": {""name"": ""Azerbaijan - First Division"", ""slug"": ""azerbaijan-first-division""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|bahir dar kenema|ethiopian medhin|2026-04-15,odds_api_io,69950508,soccer,Ethiopia - Premier League,Ethiopian Medhin,Bahir Dar Kenema FC,2026-04-15T12:00:00+00:00,mid,"{""competition"": ""Ethiopia - Premier League"", ""odds_api_io_id"": 69950508, ""raw_event"": {""away"": ""Bahir Dar Kenema FC"", ""awayId"": 558872, ""date"": ""2026-04-15T12:00:00Z"", ""home"": ""Ethiopian Medhin"", ""homeId"": 937183, ""id"": 69950508, ""league"": {""name"": ""Ethiopia - Premier League"", ""slug"": ""ethiopia-premier-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|hawassa kenema|shire endaselassie|2026-04-15,odds_api_io,69950498,soccer,Ethiopia - Premier League,Hawassa Kenema SC,Shire Endaselassie FC,2026-04-15T12:00:00+00:00,mid,"{""competition"": ""Ethiopia - Premier League"", ""odds_api_io_id"": 69950498, ""raw_event"": {""away"": ""Shire Endaselassie FC"", ""awayId"": 524392, ""date"": ""2026-04-15T12:00:00Z"", ""home"": ""Hawassa Kenema SC"", ""homeId"": 327591, ""id"": 69950498, ""league"": {""name"": ""Ethiopia - Premier League"", ""slug"": ""ethiopia-premier-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|bukhoro davlat universiteti|respublika football academy|2026-04-15,odds_api_io,70314388,soccer,Uzbekistan - Pro Liga,Respublika Football Academy,Bukhoro Davlat Universiteti,2026-04-15T12:00:00+00:00,mid,"{""competition"": ""Uzbekistan - Pro Liga"", ""odds_api_io_id"": 70314388, ""raw_event"": {""away"": ""Bukhoro Davlat Universiteti"", ""awayId"": 1332868, ""date"": ""2026-04-15T12:00:00Z"", ""home"": ""Respublika Football Academy"", ""homeId"": 1332870, ""id"": 70314388, ""league"": {""name"": ""Uzbekistan - Pro Liga"", ""slug"": ""uzbekistan-pro-liga""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|bangkok united|gamba osaka|2026-04-15,odds_api_io,68528350,soccer,International Clubs - AFC Champions League Two,Bangkok United FC,Gamba Osaka,2026-04-15T12:15:00+00:00,mid,"{""competition"": ""International Clubs - AFC Champions League Two"", ""odds_api_io_id"": 68528350, ""raw_event"": {""away"": ""Gamba Osaka"", ""awayId"": 3138, ""date"": ""2026-04-15T12:15:00Z"", ""home"": ""Bangkok United FC"", ""homeId"": 85741, ""id"": 68528350, ""league"": {""name"": ""International Clubs - AFC Champions League Two"", ""slug"": ""international-clubs-afc-champions-league-two""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,totals,Меньше,,,,,Bet365,odds_api_io,84.02,61.65,55.26,,,67.78,,,,,1.008,0.364,,sstats_form,,insufficient_history,,,,,,
soccer|karbi anglong morning star|myj gmsc|2026-04-15,odds_api_io,70090050,soccer,India - I-League 2,Karbi Anglong Morning Star FC,Myj-Gmsc,2026-04-15T12:30:00+00:00,mid,"{""competition"": ""India - I-League 2"", ""odds_api_io_id"": 70090050, ""raw_event"": {""away"": ""Myj-Gmsc"", ""awayId"": 1181069, ""date"": ""2026-04-15T12:30:00Z"", ""home"": ""Karbi Anglong Morning Star FC"", ""homeId"": 1181083, ""id"": 70090050, ""league"": {""name"": ""India - I-League 2"", ""slug"": ""india-i-league-2""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|abha|jeddah|2026-04-15,odds_api_io,67953198,soccer,Saudi Arabia - Division 1,Abha Club,Jeddah Club,2026-04-15T12:50:00+00:00,mid,"{""competition"": ""Saudi Arabia - Division 1"", ""odds_api_io_id"": 67953198, ""raw_event"": {""away"": ""Jeddah Club"", ""awayId"": 368676, ""date"": ""2026-04-15T12:50:00Z"", ""home"": ""Abha Club"", ""homeId"": 168090, ""id"": 67953198, ""league"": {""name"": ""Saudi Arabia - Division 1"", ""slug"": ""saudi-arabia-division-1""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,totals,Меньше,,,,,Bet365,odds_api_io,46.04,43.59,41.84,,,64.32,,,,,,,,,,insufficient_history,,,,,,
soccer|pogon szczecin 2|wiked luzino|2026-04-15,odds_api_io,62037358,soccer,"Poland - III Liga, Group 2",Pogon Szczecin II,Wiked Luzino,2026-04-15T13:00:00+00:00,mid,"{""competition"": ""Poland - III Liga, Group 2"", ""odds_api_io_id"": 62037358, ""raw_event"": {""away"": ""Wiked Luzino"", ""awayId"": 537601, ""date"": ""2026-04-15T13:00:00Z"", ""home"": ""Pogon Szczecin II"", ""homeId"": 466305, ""id"": 62037358, ""league"": {""name"": ""Poland - III Liga, Group 2"", ""slug"": ""poland-iii-liga-group-2""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|dessie ketema|halaba ketema|2026-04-15,odds_api_io,70807686,soccer,Ethiopia - Higher League,Dessie Ketema,Halaba Ketema,2026-04-15T13:00:00+00:00,mid,"{""competition"": ""Ethiopia - Higher League"", ""odds_api_io_id"": 70807686, ""raw_event"": {""away"": ""Halaba Ketema"", ""awayId"": 1113277, ""date"": ""2026-04-15T13:00:00Z"", ""home"": ""Dessie Ketema"", ""homeId"": 1114757, ""id"": 70807686, ""league"": {""name"": ""Ethiopia - Higher League"", ""slug"": ""ethiopia-higher-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|chernolomets popovo|spartak 1918 varna 2|2026-04-15,odds_api_io,68899712,soccer,Bulgaria - Treta Liga,Chernolomets Popovo,FC Spartak 1918 Varna II,2026-04-15T13:00:00+00:00,mid,"{""competition"": ""Bulgaria - Treta Liga"", ""odds_api_io_id"": 68899712, ""raw_event"": {""away"": ""FC Spartak 1918 Varna II"", ""awayId"": 827704, ""date"": ""2026-04-15T13:00:00Z"", ""home"": ""Chernolomets Popovo"", ""homeId"": 618284, ""id"": 68899712, ""league"": {""name"": ""Bulgaria - Treta Liga"", ""slug"": ""bulgaria-treta-liga""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|ustrem donchevo|volov shumen|2026-04-15,odds_api_io,68899714,soccer,Bulgaria - Treta Liga,Ustrem Donchevo,FC Volov Shumen,2026-04-15T13:00:00+00:00,mid,"{""competition"": ""Bulgaria - Treta Liga"", ""odds_api_io_id"": 68899714, ""raw_event"": {""away"": ""FC Volov Shumen"", ""awayId"": 827700, ""date"": ""2026-04-15T13:00:00Z"", ""home"": ""Ustrem Donchevo"", ""homeId"": 477282, ""id"": 68899714, ""league"": {""name"": ""Bulgaria - Treta Liga"", ""slug"": ""bulgaria-treta-liga""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
