segment,count,wins,losses,stake,pnl,roi_pct,hit_rate_pct,avg_odds,avg_predicted_probability,hit_rate_probability,calibration_delta_probability,brier_score
bookmaker:bet365,12,6,6,218.0,43.67,20.03,50.0,2.796,0.4596,0.5,0.0404,0.2611
bookmaker:unibet,6,3,3,64.0,5.15,8.05,50.0,3.275,0.3663,0.5,0.1337,0.22551
context:api_football,6,3,3,104.0,-40.6,-39.04,50.0,3.142,0.4051,0.5,0.0949,0.22856
context:ensemble,10,5,5,137.0,71.7,52.34,50.0,2.882,0.4389,0.5,0.0611,0.28191
context:sstats_form,1,0,1,12.0,-12.0,-100.0,0.0,3.5,0.3271,0.0,-0.3271,0.10699
context:thesportsdb,1,1,0,29.0,29.72,102.48,100.0,2.025,0.5655,1.0,0.4345,0.18879
family:dnb,4,3,1,88.0,72.75,82.67,75.0,2.975,0.4436,0.75,0.3064,0.24952
family:h2h,10,4,6,126.0,-50.95,-40.44,40.0,3.36,0.3595,0.4,0.0405,0.23378
family:spreads,1,0,1,14.0,-14.0,-100.0,0.0,2.05,0.5237,0.0,-0.5237,0.27426
family:totals,3,2,1,54.0,41.02,75.96,66.67,1.883,0.6063,0.6667,0.0603,0.29203
league:other,8,2,6,162.0,-60.88,-37.58,25.0,3.072,0.4344,0.25,-0.1844,0.20536
league:preferred,3,2,1,48.0,13.8,28.75,66.67,2.208,0.4975,0.6667,0.1691,0.27188
league:secondary,7,5,2,72.0,95.9,133.19,71.43,3.143,0.3921,0.7143,0.3222,0.28968
market:dnb:away,3,2,1,78.0,59.25,75.96,66.67,3.183,0.4417,0.6667,0.2249,0.2316
market:dnb:home,1,1,0,10.0,13.5,135.0,100.0,2.35,0.4493,1.0,0.5507,0.30327
market:h2h:away,6,2,4,96.0,-67.25,-70.05,33.33,3.35,0.366,0.3333,-0.0327,0.20995
market:h2h:draw,2,1,1,2.0,1.9,95.0,50.0,4.075,0.2817,0.5,0.2183,0.29169
market:h2h:home,2,1,1,28.0,14.4,51.43,50.0,2.675,0.4178,0.5,0.0822,0.24739
market:spreads:away,1,0,1,14.0,-14.0,-100.0,0.0,2.05,0.5237,0.0,-0.5237,0.27426
market:totals:over,1,1,0,29.0,29.72,102.48,100.0,2.025,0.5655,1.0,0.4345,0.18879
market:totals:under,2,1,1,25.0,11.3,45.2,50.0,1.812,0.6267,0.5,-0.1267,0.34365
odds:1.00-1.69,1,0,1,1.0,-1.0,-100.0,0.0,1.6,0.6991,0.0,-0.6991,0.48874
odds:1.70-2.04,3,3,0,73.0,58.02,79.48,100.0,1.95,0.5729,1.0,0.4271,0.18277
odds:2.05-2.74,5,3,2,62.0,29.4,47.42,60.0,2.46,0.4446,0.6,0.1554,0.28302
odds:2.75-3.49,2,1,1,20.0,-16.75,-83.75,50.0,3.325,0.3604,0.5,0.1396,0.27029
odds:3.50+,7,2,5,126.0,-20.85,-16.55,28.57,3.829,0.3358,0.2857,-0.0501,0.21336
prob:25-30,2,1,1,2.0,1.9,95.0,50.0,4.075,0.2817,0.5,0.2183,0.29169
prob:30-35,1,0,1,12.0,-12.0,-100.0,0.0,3.5,0.3271,0.0,-0.3271,0.10699
prob:35-40,6,2,4,132.0,-27.5,-20.83,33.33,3.633,0.3635,0.3333,-0.0302,0.22395
prob:40-45,4,3,1,48.0,43.4,90.42,75.0,2.562,0.4249,0.75,0.3251,0.28521
prob:50-55,1,0,1,14.0,-14.0,-100.0,0.0,2.05,0.5237,0.0,-0.5237,0.27426
prob:55-60,3,3,0,73.0,58.02,79.48,100.0,1.95,0.5729,1.0,0.4271,0.18277
prob:65-70,1,0,1,1.0,-1.0,-100.0,0.0,1.6,0.6991,0.0,-0.6991,0.48874
